ResponseID,To keep track of dependency vulnerabilities,Research and testing,To meet regulatory requirements,Because my organization asks me to,To monitor my project's dependencies,Other (please specify),To learn more about other projects,To make it easier to understand dependencies in complex projects,No Answer,To proactively identify replacements for components that reach end-of-life,To meet software licensing requirements,To monitor for on-going vulnerabilities in installed software components
R_1P776djwnwYYHqv,,,,,,,,,1,,,
R_3kcX5GVjOS0Bqsc,1,,,,1,,,,,,1,
R_9mlyPsE52APF3RT,,,,,,,,,1,,,
R_1CqN5FujZLDvcKR,1,,,,1,,,1,,,1,
R_2X02uH9Mm87FxHp,1,,,,,1,,,,,,1
R_1diviwEB1kpQfiN,1,,,,1,,1,1,,1,1,
R_2s5ZlVioDWKw8nl,,,,,,,,,1,,,
R_1pXOYrzicaKEh9a,1,,,,1,,1,1,,1,1,
R_11db8BgtVC2jgQK,,,,,,,,,1,,,
R_2yl8CXmByyorHTE,1,,,,1,,1,1,,1,,
R_2QrYYG4zX8M9X45,,,,,,,,,1,,,
R_3fwNV4JCR7gYKCq,,,,,,,,,1,,,
R_eG8r0YjTDRCybL3,1,,1,,1,,,1,,1,1,
R_3MtHobBp4TUfCnf,1,1,1,1,1,1,1,1,,1,1,
