ResponseID,Others,Desktop applications,Web applications,Databases,"Development tools (compilers, prog. languages, etc.)",Mobile applications,Middleware,No Answer,Platforms,Operating systems
R_pSFEcWrIVGPzkcN,,,,,,,,1,,
R_3kcX5GVjOS0Bqsc,,1,1,1,1,1,1,,,1
R_1etaPjf7ww473XA,,,1,,1,1,1,,,
R_1lt6DlQzUc9YCuQ,,1,1,,1,1,1,,,
R_1M4HoMp9oXP92Jc,,1,1,,1,,1,,,1
R_3MrNOoshiY0ac9F,,1,,,1,,,,,
R_1CqN5FujZLDvcKR,,1,,1,,,1,,,
R_1gnCm7rvxLjS2rN,,1,1,,,,1,,,
R_2X02uH9Mm87FxHp,,1,1,1,,,1,,,
R_bHpYNSKRMzkT17z,,,1,,1,,,,,
R_2tgjPTTsOMyIVO4,,,,,,,,1,,
R_1diviwEB1kpQfiN,,1,1,,1,1,1,,,1
R_2dLMPLyI3CfVNMD,,,,,,,,1,,
R_1pXOYrzicaKEh9a,1,,,,,,,,1,
R_2yl8CXmByyorHTE,,,1,1,,,1,,,
R_eG8r0YjTDRCybL3,,1,1,1,,1,1,,,1
