In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,SM3,SC8,SC9
1,R_1P776djwnwYYHqv,"['DependencyTracker', 'Licensing', 'Security', 'Versioning']",,"['Tooling', 'LanguageSupport', 'Inconsistency']",['Tooling'],"['LanguageSpecificTools', 'ReportGenerationTools']",,,,,,"['Inconsistency', 'MissingToolFeatures']",,"['InsecureByDefault', 'CodeReview', 'TestCases']",['PackageManager']
4,R_3kcX5GVjOS0Bqsc,"['DependencyTracker', 'Licensing', 'Security', 'Compliance', 'Transparency']","['Identifier', 'UseCase']","['Underspecification', 'TooManyStandards', 'Comprehension']","['Standardization', 'Documentation']",['BetterLibraries'],['InRepository'],"['SatisfiedRequirements', 'IncreasedAdoption']","['TiedToSoftwareVersion', 'Identifier']","['EnvironmentSupport', 'Tooling']","['DependencyTracking', 'VulnerabilityDetection']","['Inconsistency', 'DifferentStandards']","['Website', 'GoverningBodies', 'SocialMedia']","['ReadDescription', 'CodeReview']","['PackageManager', 'Scanner']"
5,R_9mlyPsE52APF3RT,"['DependencyTracker', 'Security']",,['YoungTechnology'],"['Standardization', 'Tooling']",['BadAnswer'],,,,,,,,['ToolAssisted'],['CallGraph']
12,R_1CqN5FujZLDvcKR,"['DependencyTracker', 'Licensing', 'Security', 'Versioning', 'MachineReadable', 'Provenance']","['Name', 'License', 'Version', 'Organization']","['Overspecification', 'Inconsistency', 'TooManyStandards', 'UnavailableInformation']",['Standardization'],['Communication'],['DeliveredWithArtifact'],"['LocateSecurityIssues','DependencyManagement', 'Licensing']",['ToolAssisted'],"['EnvironmentSupport', 'Tooling', 'UnavailableInformation']",['DependencyTracking'],['Inconsistency'],['GoverningBodies'],['CodeReview'],['PackageManager']
17,R_2X02uH9Mm87FxHp,"['DependencyTracker', 'Security', 'Licensing']",['BadAnswer'],['SbomDistribution'],['SupportRelatedOrganizations'],['SupportRelatedOrganizations'],['VendorDiscretion'],,['Database'],['Tooling'],,['Inconsistency'],['BadAnswer'],['ReadDescription'],['PackageManager']
38,R_1diviwEB1kpQfiN,"['DependencyTracker', 'Licensing', 'Security']",['URL'],"['Underspecification', 'Overspecification', 'Comprehension']",['Standardization'],['BadAnswer'],['BadAnswer'],"['DependencyManagement', 'Licensing']",['TiedToSoftwareVersion'],"['SpecificationComprehension', 'ImplementationDifficulty', 'InteroperabilityIssues']",,['PoorQualitySboms'],,"['ReadDescription', 'ToolAssisted']","['Scanner', 'CallGraph']"
41,R_2s5ZlVioDWKw8nl,['BadAnswer'],,['NoDeficiencies'],['SupportRelatedOrganizations'],['BadAnswer'],,,,,,,,,
254,R_6hvm6eM6zWh1LpL,"['Versioning', 'Licensing', 'DependencyTracker']",,,,['NoDeficiencies'],['BadAnswer'],,,,['FastAndEasy'],['PoorQualitySboms'],,['ToolAssisted'],['ProprietaryTool']
280,R_2ZNqQzhlTfV14P2,"['Documentation', 'DependencyTracker', 'Security']",,,,,,,,,,,,"['CodeReview', 'Versioning']","['PackageManager', 'GitHub']"
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
